% Model:              THGEM.mph
% Version:            COMSOL 6.3.0.290
% Date:               May 25 2026, 16:42
% Dimension:          3
% Nodes:              54098
% Expressions:        1
% Description:        电势
% Length unit:        m
% x                       y                        z                        V (V)
1.3789346329038147E-4     3.6023569691214955E-4    0.001986252988391247     -133.58783206548839
1.3011449714130774E-4     3.5814976338737164E-4    0.0019931264941956245    -134.65725858335475
1.3525778006483001E-4     3.4691612115387064E-4    0.0019931264941956245    -134.325902726544
1.2233553099223402E-4     3.560638298625938E-4     0.002000000000000002     -135.70063438858236
1.274788139157563E-4      3.448301876290928E-4     0.002000000000000002     -135.3732031722159
1.3262209683927856E-4     3.335965453955918E-4     0.002000000000000002     -134.8678606790581
1.4527667762003084E-4     3.560296299907502E-4     0.0019931264941956245    -136.30497083329826
1.3749771147095712E-4     3.5394369646597236E-4    0.002000000000000002     -137.54718080295822
1.426409943944794E-4      3.4271005423247135E-4    0.002000000000000002     -137.11975109868447
1.5265989194968022E-4     3.5182356306935093E-4    0.002000000000000002     -139.0776081218191
1.3716262734487437E-4     3.708126842401902E-4     0.0019931264941956245    -136.46029333822435
1.2938366119580064E-4     3.6872675071541235E-4    0.002000000000000002     -137.67017918322142
1.4454584167452374E-4     3.666066173187909E-4     0.002000000000000002     -139.360410625413
1.3643179139936727E-4     3.813896715682309E-4     0.002000000000000002     -139.341693686446
1.508425430318151E-4      3.720469679948577E-4     0.0019931264941956245    -138.0374566828785
1.50111707086308E-4       3.826239553228984E-4     0.002000000000000002     -140.92637214306274
1.5822575736146446E-4     3.678409010734584E-4     0.002000000000000002     -140.84964841181588
1.637916227732487E-4      3.8385823907756585E-4    0.002000000000000002     -142.28027679475466
-5.500105861308953E-5     4.330127018922193E-4     0.0020000000000000005    -100.00000000000001
-6.899630490525584E-5     4.330127018922193E-4     0.0020000000000000005    -100.00000000000001
-6.118395712368487E-5     4.330127018922193E-4     0.00198701401805286      -100.29101500829364
-8.299155119742216E-5     4.330127018922193E-4     0.0020000000000000005    -100.00000000000001
-7.517920341585119E-5     4.330127018922193E-4     0.00198701401805286      -100.13323473176195
-6.736685563428022E-5     4.330127018922193E-4     0.0019740280361057196    -100.38651046882457
-6.217966248820374E-5     4.199847418920736E-4     0.0020000000000000013    -100.00000000000001
-7.617490878037005E-5     4.199847418920736E-4     0.0020000000000000013    -100.00000000000001
-6.836256099879909E-5     4.199847418920736E-4     0.001987014018052861     -100.20508494678553
-6.935826636331795E-5     4.069567818919279E-4     0.002000000000000002     -100.00000000000001
-9.053172140557035E-5     4.2000455436958287E-4    0.0020000000000000013    -100.00000000000001
-8.371507898851825E-5     4.069765943694372E-4     0.002000000000000002     -100.00000000000001
-9.807189161371854E-5     4.069964068469465E-4     0.002000000000000002     -100.00000000000001
-8.271937362399938E-5     4.2000455436958287E-4    0.001987014018052861     -100.05990613293301
-4.289989179501747E-5     4.330127018922193E-4     0.001983638207395965     -100.79919312914151
-4.89504752040535E-5      4.330127018922193E-4     0.0019918191036979826    -100.32932269614089
-4.2094760587598214E-5    4.2052966714786126E-4    0.0019918191036979835    -100.43445850962819
-4.8145343996634245E-5    4.2052966714786126E-4    0.0020000000000000013    -100.00000000000001
-4.128962938017896E-5     4.080466324035033E-4     0.002000000000000002     -100.00000000000001
-3.522415056321538E-5     4.330127018922193E-4     0.0019918191036979826    -100.59158563147952
-4.127473397225141E-5     4.330127018922193E-4     0.0020000000000000005    -100.00000000000001
-3.4419019355796124E-5    4.2052966714786126E-4    0.0020000000000000013    -100.00000000000001
-2.754840933141329E-5     4.330127018922193E-4     0.0020000000000000005    -100.00000000000001
-2.2918052871367386E-5    4.2251747146605334E-4    0.0020000000000000013    -100.00000000000001
-2.978866289575022E-5     4.1003443672169536E-4    0.002000000000000002     -100.00000000000001
-3.0593794103169476E-5    4.2251747146605334E-4    0.0019918191036979835    -100.67888965909115
-1.8287696411321483E-5    4.1202224103988744E-4    0.002000000000000002     -100
-5.612907907916771E-5     4.199847418920736E-4     0.0019918191036979835    -100.23687292697775
-5.513337371464884E-5     4.330127018922193E-4     0.001978833121750842     -100.60495042684975
-5.5323947871748456E-5    4.075017071477156E-4     0.002000000000000002     -100.00000000000001
-2.278736310578964E-5     4.330127018922193E-4     0.0019872823556156844    -101.4026038611973
-1.815700664574374E-5     4.2251747146605334E-4    0.0019872823556156853    -101.74408124384723
-1.8026316880165994E-5    4.330127018922193E-4     0.0019745647112313683    -102.90937887833778
-1.3774204665706645E-5    4.330127018922193E-4     0.002                    -100.00000000000001
-9.143848205660741E-6     4.2251747146605334E-4    0.002000000000000001     -100.00000000000001
-9.013158440082997E-6     4.330127018922193E-4     0.0019872823556156844    -102.5203328004579
0                         4.330127018922193E-4     0.002                    -100.00000000000001
-3.046310433759173E-5     4.330127018922193E-4     0.0019791014593136666    -101.5768533020263
-1.7452995543635737E-5    4.089526567183689E-4     0.001989631315296076     -101.40121759722668
-1.9973657829893375E-5    3.9764935602391253E-4    0.0020000000000000018    -100.00000000000001
-1.6618294675949988E-5    4.058830723968504E-4     0.0019792626305921504    -102.50939835351575
-1.913895696220763E-5     3.94579771702394E-4      0.001989631315296076     -101.28107818577676
-2.1659619248465267E-5    3.832764710079376E-4     0.0020000000000000018    -99.99999999999999
-2.8953962028064475E-5    4.069648524001768E-4     0.001989631315296076     -100.90270810809962
-3.147462431432211E-5     3.9566155170572045E-4    0.0020000000000000018    -100.00000000000001
-8.232716284329025E-6     4.0745251813207787E-4    0.0020000000000000013    -100.00000000000001
1.8222638426634333E-6     4.028827952242683E-4     0.0020000000000000005    -100
-7.398015416643278E-6     4.043829338105594E-4     0.0019896313152960752    -102.10953181647132
4.5599011723199676E-7     4.1792008344381925E-4    0.0020000000000000005    -100.00000000000001
-8.309147337974994E-6     4.1944788714453485E-4    0.0019896313152960752    -102.2910978808184
-1.7322305778057993E-5    4.1944788714453485E-4    0.0019769136709117596    -102.7664449354066
-9.918677702900917E-6     3.9307963311610296E-4    0.002000000000000001     -100.00000000000001
-2.975909323548373E-5     4.1944788714453485E-4    0.0019814504189940574    -101.46910611926235
7.264158808074628E-6      3.731853552951289E-4     0.002000000000000001     -100.00000000000001
8.3433680497299E-6        3.6963962866968787E-4    0.001992994224009077     -102.83365274112965
-3.7435505733831793E-6    3.61780628841977E-4      0.0020000000000000018    -100.00000000000001
9.422577291385172E-6      3.660939020442469E-4     0.001985988448018153     -104.60410698917785
-2.6643413317279072E-6    3.58234902216536E-4      0.0019929942240090774    -101.28552707213787
-1.4751259954840987E-5    3.503759023888251E-4     0.002000000000000002     -100.00000000000001
-7.1977302201953195E-6    3.7823091315153325E-4    0.0020000000000000013    -100.00000000000001
-6.1185209785400475E-6    3.7468518652609224E-4    0.0019929942240090774    -101.5770479856554
-1.8205439601653127E-5    3.6682618669838137E-4    0.0020000000000000018    -100.00000000000001
1.2834217572438413E-5     3.552277985042284E-4     0.0019929942240090766    -103.12585874998531
1.131978299663812E-5      3.586369396357686E-4     0.0020000000000000005    -100.00000000000001
1.6245857853491654E-5     3.4436169496420994E-4    0.0020000000000000005    -100.00000000000001
2.1562784896876848E-5     3.6635840842613504E-4    0.0019929942240090774    -108.35992555315025
2.0483575655221577E-5     3.6990413505157604E-4    0.0020000000000000018    -108.73420254533531
2.497442517793009E-5      3.554923048861166E-4     0.0020000000000000013    -108.54385230317116
3.370299250236852E-5      3.666229148080232E-4     0.002000000000000002     -114.63462430412089
7.472989493253334E-7      3.473687986765175E-4     0.0020000000000000013    -100.00000000000001
1.64824406568302E-5       3.8327689632928726E-4    0.0020000000000000018    -107.9298797056712
1.756164989848547E-5      3.7973116970384626E-4    0.0019929942240090774    -108.24471787765769
2.570072250558577E-5      3.9336843736344565E-4    0.002000000000000002     -113.98803502237708
2.9701857503977146E-5     3.7999567608573443E-4    0.002000000000000002     -114.52545285918447
1.0783303240735882E-5     3.8578707246509226E-4    0.001989866524388713     -105.85786509386068
1.1862512482391155E-5     3.822413458396513E-4     0.0019828607483977885    -106.75095111776996
1.4302447673397137E-5     3.983887896350557E-4     0.0019797330487774244    -108.32855830191495
2.0001585089491454E-5     3.9587861349925065E-4    0.0019898665243887133    -110.39601178670661
2.0344251238682033E-5     4.1453060310437176E-4    0.0020000000000000018    -112.74715903200399
2.30224868721339E-5       4.039495202339087E-4     0.0020000000000000018    -113.50830419528874
1.1083257540672733E-5     4.0870669916432E-4       0.002000000000000001     -107.14878229704773
1.3761493174124601E-5     3.9812561629385697E-4    0.0020000000000000013    -108.19233050944243
1.7323349456039586E-5     4.064596963697137E-4     0.001989866524388713     -110.00560180678686
8.062355758030286E-6      4.00635792429662E-4      0.0019898665243887124    -105.48963116161097
-3.6785857875340653E-6    3.9083263032149663E-4    0.001989866524388713     -102.53300466798687
3.081085068501162E-5      4.138622800032143E-4     0.002000000000000002     -117.27188083341335
3.348908631846349E-5      4.032811971327512E-4     0.0020000000000000026    -117.87823960974879
2.7789948902369174E-5     4.057913732685562E-4     0.0019898665243887137    -113.88203465025056
4.127745013134121E-5      4.131939569020568E-4     0.0020000000000000026    -121.17973026227797
4.094294948248812E-6      3.8795291690603515E-4    0.0020000000000000005    -100.00000000000001
-1.1579235012764258E-6    4.0213593101595305E-4    0.001979497839684787     -104.7547347617962
-3.0069459977400813E-6    4.330127018922193E-4     0.001972910184821839     -105.05681335529012
6.006212442342916E-6      4.330127018922193E-4     0.0019856278292061545    -106.27251746923152
-2.3029348956320785E-6    4.1944788714453485E-4    0.0019752591445022297    -104.93491545008033
1.2012424884685831E-5     4.330127018922193E-4     0.001971255658412309     -108.28549640269809
1.0172125619341017E-5     4.237716524982955E-4     0.002000000000000001     -107.31716736682434
1.6178338061683932E-5     4.237716524982955E-4     0.0019856278292061554    -109.7045703005962
6.917344363674632E-6      4.179477485582438E-4     0.0019856278292061545    -106.58800411548675
2.7548409331413702E-5     4.3301270189221935E-4    0.002                    -116.34354266852704
2.3946330285047868E-5     4.2377165249829555E-4    0.002000000000000001     -114.69151019044178
1.3774204665706851E-5     4.3301270189221935E-4    0.002                    -109.5744457727347
1.9780417108049767E-5     4.3301270189221935E-4    0.0019856278292061545    -110.98857712484593
1.3157436279041485E-5     4.157007457636375E-4     0.0019754943535948664    -108.50302589352283
3.296236069536271E-5      4.3301270189221935E-4    0.001988287083034158     -115.96320126372488
3.837631205931173E-5      4.330127018922193E-4     0.0019765741660683163    -115.53452568041301
2.936028164899688E-5      4.237716524982955E-4     0.001988287083034159     -114.6901076859174
2.519436847199878E-5      4.330127018922193E-4     0.0019739149122403126    -111.70265846870244
3.441292973137745E-5      4.2310332939713807E-4    0.0020000000000000013    -118.96529379030116
3.982688109532647E-5      4.23103329397138E-4      0.0019882870830341594    -118.0852890618592
4.127473397225156E-5      4.3301270189221935E-4    0.002                    -121.4779849866422
4.8139254372215316E-5     4.23103329397138E-4      0.002000000000000001     -123.60201016680186
4.6688685336200575E-5     4.330127018922193E-4     0.0019882870830341577    -120.15205122942584
5.500105861308942E-5      4.330127018922193E-4     0.0019999999999999996    -125.6907744633854
2.6339379866354433E-5     4.157007457636375E-4     0.0019781536074228705    -112.24520109821103
-5.60486041162149E-5      3.8270730691213235E-4    0.002000000000000002     -100.00000000000001
-5.0870685734959436E-5    3.7011483222856335E-4    0.002000000000000002     -100.00000000000001
-6.553132325054717E-5     3.722525528723694E-4     0.002000000000000002     -100.00000000000001
-4.569276735370397E-5     3.5752235754499435E-4    0.002000000000000002     -100.00000000000001
-6.035340486929171E-5     3.596600781888004E-4     0.002000000000000002     -100.00000000000001
-7.501404238487944E-5     3.617977988326065E-4     0.002000000000000002     -100.00000000000001
-5.505930046440181E-5     3.83218979495761E-4      0.00198562145278431      -100.36099685669882
-4.9881382083146344E-5    3.70626504812192E-4      0.00198562145278431      -100.42265108455501
-6.454201959873407E-5     3.7276422545599804E-4    0.00198562145278431      -100.20368063616726
-5.4069996812588716E-5    3.837306520793896E-4     0.001971242905568618     -100.67392095772098
-7.072399669040942E-5     3.828108197892503E-4     0.002000000000000002     -100.00000000000001
-8.02067158247417E-5      3.7235606574948735E-4    0.002000000000000002     -100.00000000000001
-8.539938926460395E-5     3.8291433266636823E-4    0.002000000000000002     -100.00000000000001
-6.973469303859633E-5     3.833224923728789E-4     0.00198562145278431      -100.16346129877091
-4.767981309638384E-5     3.9588864224144644E-4    0.00198562145278431      -100.55634886549042
-3.786480803052699E-5     3.835035615436636E-4     0.00198562145278431      -100.74482122085593
-3.5344145744269354E-5    3.9480686223812003E-4    0.0019752527680803843    -101.3679818252176
